iter	Passed	Remaining
463	777	898
464	779	896
465	780	894
466	782	892
467	783	891
468	785	889
469	786	887
470	788	885
471	789	883
472	791	881
473	792	879
474	794	878
475	796	876
476	797	874
477	799	872
478	800	870
479	802	868
480	803	866
481	805	865
482	807	863
483	808	862
484	810	860
485	811	858
486	813	856
487	814	854
488	816	853
489	817	851
490	819	849
491	820	847
492	822	845
493	823	843
494	825	842
495	826	840
496	829	839
497	830	837
498	832	835
499	833	833
500	835	831
501	836	830
502	838	828
503	840	826
504	841	825
505	843	823
506	844	821
507	846	819
508	848	818
509	849	816
510	851	814
511	852	812
512	854	811
513	855	809
514	857	807
515	858	805
516	860	803
517	861	802
518	863	800
519	865	798
520	866	796
521	868	794
522	869	793
523	871	791
524	872	789
525	874	787
526	875	785
527	876	783
528	878	782
529	880	780
530	881	778
531	883	777
532	884	775
533	886	773
534	887	771
535	889	769
536	890	768
537	892	766
538	894	764
539	895	762
540	897	761
541	898	759
542	900	757
543	901	755
544	902	753
545	904	752
546	905	750
547	907	748
548	909	746
549	910	745
550	912	743
551	913	741
552	915	739
553	916	737
554	918	736
555	919	734
556	921	732
557	922	730
558	923	728
559	925	727
560	927	725
561	928	723
562	929	721
563	931	720
564	933	718
565	934	716
566	935	714
567	937	712
568	938	711
569	940	709
570	941	707
571	943	705
572	944	704
573	946	702
574	947	700
575	949	698
576	950	697
577	952	695
578	953	693
579	955	691
580	956	690
581	958	688
582	959	686
583	961	684
584	962	683
585	964	681
586	966	680
587	968	678
588	969	676
589	971	674
590	972	673
591	974	671
592	975	669
593	977	667
594	978	666
595	980	664
596	981	662
597	983	660
598	984	659
599	986	657
600	987	655
601	989	654
602	990	652
603	992	650
604	993	648
605	995	647
606	996	645
607	998	643
608	999	641
609	1001	640
610	1003	638
611	1004	637
612	1006	635
613	1007	633
614	1009	631
615	1010	630
616	1012	628
617	1014	626
618	1015	625
619	1016	623
620	1018	621
621	1020	619
622	1021	618
623	1023	616
624	1024	614
625	1025	612
626	1027	611
627	1029	609
628	1030	607
629	1031	606
630	1033	604
631	1035	602
632	1036	601
633	1038	599
634	1039	597
635	1041	595
636	1042	594
637	1044	592
638	1045	590
639	1047	589
640	1048	587
641	1050	585
642	1051	584
643	1053	582
644	1054	580
645	1056	578
646	1057	577
647	1059	575
648	1060	573
649	1062	572
650	1064	570
651	1065	568
652	1067	567
653	1068	565
654	1070	563
655	1071	562
656	1073	560
657	1074	558
658	1076	556
659	1077	555
660	1079	553
661	1080	551
662	1082	550
663	1083	548
664	1085	546
665	1086	544
666	1088	543
667	1089	541
668	1091	539
669	1092	538
670	1094	536
671	1095	534
672	1097	533
673	1098	531
674	1100	529
675	1101	527
676	1102	526
677	1104	524
678	1105	522
679	1107	521
680	1108	519
681	1110	517
682	1112	516
683	1113	514
684	1115	512
685	1117	511
686	1118	509
687	1120	507
688	1121	506
689	1122	504
690	1124	502
691	1126	501
692	1127	499
693	1129	498
694	1131	496
695	1132	494
696	1134	493
697	1135	491
698	1137	489
699	1138	488
700	1140	486
701	1142	484
702	1143	483
703	1145	481
704	1146	479
705	1148	478
706	1149	476
707	1151	474
708	1152	473
709	1154	471
710	1156	469
711	1157	468
712	1158	466
713	1160	464
714	1162	463
715	1163	461
716	1165	459
717	1166	458
718	1167	456
719	1169	454
720	1171	453
721	1172	451
722	1174	449
723	1175	448
724	1176	446
725	1178	444
726	1179	443
727	1181	441
728	1182	439
729	1184	438
730	1185	436
731	1187	434
732	1188	433
733	1190	431
734	1191	429
735	1192	427
736	1194	426
737	1195	424
738	1197	422
739	1198	421
740	1200	419
741	1201	417
742	1202	416
743	1204	414
744	1205	412
745	1207	411
746	1208	409
747	1210	407
748	1211	406
749	1213	404
750	1214	402
751	1216	401
752	1217	399
753	1219	397
754	1220	396
755	1222	394
756	1223	392
757	1225	391
758	1226	389
759	1228	387
760	1230	386
761	1231	384
762	1232	382
763	1234	381
764	1235	379
765	1237	378
766	1239	376
767	1240	374
768	1241	373
769	1243	371
770	1244	369
771	1246	368
772	1247	366
773	1249	364
774	1250	363
775	1252	361
776	1253	359
777	1254	358
778	1256	356
779	1257	354
780	1259	353
781	1260	351
782	1262	349
783	1264	348
784	1265	346
785	1266	344
786	1268	343
787	1270	341
788	1271	340
789	1272	338
790	1274	336
791	1275	335
792	1277	333
793	1278	331
794	1280	330
795	1281	328
796	1283	326
797	1284	325
798	1286	323
799	1287	321
800	1289	320
801	1290	318
802	1292	317
803	1293	315
804	1295	313
805	1296	312
806	1298	310
807	1299	308
808	1301	307
809	1302	305
810	1304	303
811	1305	302
812	1307	300
813	1308	299
814	1310	297
815	1312	295
816	1313	294
817	1314	292
818	1316	290
819	1317	289
820	1319	287
821	1320	286
822	1322	284
823	1323	282
824	1325	281
825	1327	279
826	1328	277
827	1330	276
828	1331	274
829	1333	273
830	1335	271
831	1336	269
832	1338	268
833	1339	266
834	1341	265
835	1342	263
836	1344	261
837	1345	260
838	1347	258
839	1348	256
840	1350	255
841	1351	253
842	1353	252
843	1354	250
844	1356	248
845	1357	247
846	1359	245
847	1360	243
848	1362	242
849	1363	240
850	1365	239
851	1367	237
852	1368	235
853	1370	234
854	1372	232
855	1373	231
856	1374	229
857	1377	227
858	1378	226
859	1379	224
860	1381	223
861	1382	221
862	1384	219
863	1385	218
864	1387	216
865	1388	214
866	1390	213
867	1391	211
868	1393	210
869	1394	208
870	1396	206
871	1397	205
872	1398	203
873	1400	201
874	1402	200
875	1403	198
876	1405	197
877	1406	195
878	1408	193
879	1409	192
880	1411	190
881	1412	188
882	1414	187
883	1415	185
884	1416	184
885	1418	182
886	1419	180
887	1421	179
888	1422	177
889	1424	176
890	1425	174
891	1427	172
892	1428	171
893	1430	169
894	1431	167
895	1433	166
896	1434	164
897	1436	163
898	1437	161
899	1439	159
900	1440	158
901	1441	156
902	1443	155
903	1444	153
904	1446	151
905	1447	150
906	1449	148
907	1450	146
908	1451	145
909	1453	143
910	1454	142
911	1456	140
912	1457	138
913	1459	137
914	1460	135
915	1462	134
916	1463	132
917	1465	130
918	1466	129
919	1468	127
920	1470	126
921	1471	124
922	1472	122
923	1474	121
924	1475	119
925	1477	118
926	1478	116
927	1480	114
928	1481	113
929	1483	111
930	1484	110
931	1486	108
932	1487	106
933	1489	105
934	1490	103
935	1492	102
936	1493	100
937	1494	98
938	1496	97
939	1498	95
940	1499	94
941	1501	92
942	1502	90
943	1504	89
944	1505	87
945	1507	86
946	1508	84
947	1510	82
948	1511	81
949	1513	79
950	1515	78
951	1516	76
952	1518	74
953	1519	73
954	1521	71
955	1523	70
956	1524	68
957	1526	66
958	1527	65
959	1529	63
960	1530	62
961	1531	60
962	1533	58
963	1534	57
964	1536	55
965	1538	54
966	1539	52
967	1541	50
968	1542	49
969	1544	47
970	1545	46
971	1547	44
972	1548	42
973	1549	41
974	1551	39
975	1552	38
976	1554	36
977	1556	35
978	1557	33
979	1558	31
980	1560	30
981	1562	28
982	1563	27
983	1565	25
984	1566	23
985	1567	22
986	1569	20
987	1570	19
988	1572	17
989	1573	15
990	1575	14
991	1576	12
992	1578	11
993	1579	9
994	1581	7
995	1582	6
996	1584	4
997	1585	3
998	1587	1
999	1589	0
